row_id,KQI_Degradate_Flag,E_RAB_Estab.-SR,RRC_Recon._rate,RRC_Estab.-SR,DL_PRB_avg_Utilz._rate,Maximum_num_of_users,Mean_num_of_users,UL_PRB_avg_Utilz._rate,UE_Context_DR,E_RAB_Context_DR,DL_avg_Pckt_delay,Inner_HO-SR,X2_HO-SR,RSRP_Coverage_rate,CQI_up_seven,RSSI,Avg_distance
40,1,1,0,1,2,2,2,2,0,0,0,2,1,2,1,1,2
41,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
42,1,2,0,2,2,2,2,2,0,2,2,2,2,0,0,2,2
43,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
44,1,0,1,2,2,2,2,2,2,2,1,2,2,2,2,2,0
45,1,1,2,1,2,2,2,2,0,0,0,2,2,0,1,2,2
46,1,2,2,2,2,2,2,2,0,0,0,2,2,0,1,2,0
47,1,2,2,1,2,2,2,2,0,2,2,2,2,0,0,2,1
48,1,2,1,0,2,2,2,2,2,2,2,2,2,0,2,1,2
49,1,0,0,2,2,2,2,2,0,0,2,2,2,2,2,2,1
50,1,1,1,2,2,2,2,2,2,2,1,2,2,0,2,2,2
51,1,2,2,2,2,2,2,2,0,0,2,0,2,0,2,1,1
52,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
53,1,1,0,2,2,2,2,2,2,2,2,0,2,0,2,2,0
54,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1
55,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2
56,1,2,1,2,2,2,2,2,2,2,2,2,2,0,2,0,1
57,1,2,2,2,2,2,2,2,2,2,2,2,0,0,1,2,2
58,1,2,2,2,2,2,2,2,0,2,0,2,2,1,1,2,0
59,1,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0
60,1,2,2,2,2,2,2,2,2,2,1,2,2,0,0,2,1
61,1,2,0,2,2,2,2,2,0,0,0,2,0,0,1,2,0
62,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
63,1,2,2,2,2,2,2,2,2,2,1,2,2,0,1,2,2
64,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
65,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
66,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2
67,1,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,1
68,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0
69,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
70,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1
71,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
72,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
73,1,2,2,2,2,2,2,2,2,1,1,2,2,0,2,2,1
74,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
75,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
76,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2
77,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1
78,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
79,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
80,1,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,1
81,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1
82,1,2,0,2,2,2,2,2,0,0,0,2,2,0,0,2,1
83,1,0,1,2,2,2,2,2,2,2,2,2,2,0,1,2,1
84,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
85,1,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,2
86,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
87,1,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,2
88,1,2,2,2,2,2,2,2,1,1,2,2,2,0,2,2,1
89,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
90,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
91,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
92,1,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2
93,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
94,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1
95,1,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2
96,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
97,1,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,1
98,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
99,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100,1,2,2,2,2,2,2,2,1,1,2,2,2,0,2,2,0
101,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
102,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
103,1,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,2
104,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
105,1,2,1,2,2,2,2,2,2,2,2,2,2,0,1,2,1
106,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
107,1,2,2,2,2,2,2,2,0,1,2,2,2,1,1,2,1
108,1,2,1,2,2,2,2,2,2,2,0,2,2,0,1,2,1
109,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2
110,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
111,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
112,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1
113,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
114,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
115,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
116,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
117,1,2,2,2,2,2,2,2,1,1,2,2,2,0,1,2,2
118,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
119,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
120,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
121,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
122,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2
123,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
124,1,2,1,2,2,2,2,2,2,2,2,2,2,0,1,2,1
125,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,1
126,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
127,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
128,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
129,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2
130,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1
131,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
132,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,0
133,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
134,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
135,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
136,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,1
137,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
138,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,1
139,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
140,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,1
141,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2
142,1,2,2,2,2,2,2,2,2,1,2,2,2,0,1,2,0
143,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
144,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,1
145,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
146,1,2,2,2,2,2,2,2,1,0,2,2,2,0,2,2,0
147,1,2,2,2,2,2,2,2,0,0,2,2,2,1,2,2,1
148,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
149,1,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,1
150,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1
151,1,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,1
152,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
153,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
154,1,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,1
155,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
156,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
157,1,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,2
158,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
159,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
160,1,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,2
161,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
162,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
163,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
164,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
165,1,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,1
166,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
167,1,2,2,2,2,2,2,2,0,0,1,2,2,0,1,2,1
168,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2
169,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
170,1,2,2,2,2,2,2,2,2,1,2,2,2,0,1,2,1
171,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
172,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
173,1,2,2,2,2,2,2,2,1,1,2,2,2,0,2,2,2
174,1,2,2,2,2,2,2,2,2,1,2,2,2,0,1,2,2
175,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
176,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
177,1,2,1,2,2,2,2,2,2,2,2,2,2,0,1,2,1
178,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
179,1,2,2,2,2,2,2,2,2,2,0,2,2,1,1,2,1
